carat,cut,color,clarity,depth,table,price,x,y,z
0.7,Ideal,E,SI1,61.9,56,3330,5.7,5.73,3.54
0.38,Premium,E,SI2,61.6,57,812,4.65,4.61,2.85
0.9,Good,E,SI2,59.9,61,3660,6.16,6.2,3.7
1,Very Good,E,SI1,63.7,55,5413,6.35,6.4,4.06
0.55,Premium,D,VVS1,60.3,59,3006,5.34,5.3,3.21
0.32,Premium,H,IF,61.8,58,763,4.35,4.39,2.7
0.32,Ideal,G,VS2,61.4,57,561,4.39,4.4,2.7
0.3,Premium,G,VS1,62.9,58,776,4.32,4.27,2.7
0.31,Ideal,D,VS2,62.2,55,734,4.31,4.34,2.69
0.38,Very Good,D,VS2,63.1,55,1005,4.6,4.59,2.9
0.54,Ideal,D,SI1,61.5,56,1662,5.23,5.25,3.22
0.54,Very Good,G,VVS1,60.7,56,2123,5.25,5.3,3.2
1.45,Very Good,I,IF,60.6,61,9683,7.32,7.41,4.46
0.63,Very Good,H,VVS1,62,57,2127,5.47,5.5,3.4
2.06,Premium,I,SI2,61.1,57,12842,8.3,8.24,5.05
0.51,Ideal,G,SI1,61.9,56,1321,5.11,5.17,3.17
0.41,Very Good,E,SI1,63.2,56,1015,4.74,4.72,2.99
0.71,Ideal,H,SI2,62.1,57,2122,5.68,5.76,3.55
0.98,Fair,H,SI2,67.9,60,2777,6.05,5.97,4.08
1.27,Very Good,I,VS2,62.4,58,6443,6.83,6.89,4.28
0.31,Ideal,F,VS2,62.1,57,625,4.34,4.36,2.7
0.3,Premium,I,VVS1,61.2,60,709,4.29,4.27,2.62
1.51,Premium,E,SI1,62.9,62,9647,7.31,7.21,4.57
1.28,Ideal,D,SI1,61.5,55,9548,7.01,7.05,4.32
1.04,Ideal,H,SI1,62.7,54,4515,6.51,6.47,4.07
0.71,Ideal,E,VVS2,62,53.9,4042,5.73,5.77,3.57
0.7,Good,E,SI1,65,57,2038,5.53,5.58,3.61
0.43,Ideal,G,IF,61.6,57,1341,4.84,4.81,2.97
0.84,Ideal,D,VVS1,62,54,6399,6.04,6.08,3.76
2.01,Ideal,I,SI2,61.5,56,14103,8.1,8.16,5
1.26,Ideal,F,SI1,60.6,56,6922,7.05,6.98,4.25
1.16,Ideal,G,IF,62.3,55,10082,6.79,6.73,4.21
0.27,Ideal,E,VVS2,61.9,56,760,4.16,4.19,2.58
0.51,Ideal,F,VS1,62.5,55,1836,5.13,5.08,3.19
1.54,Premium,G,VS2,60.9,59,12800,7.49,7.45,4.55
0.46,Very Good,D,VS2,61.2,57,1321,4.96,5,3.05
0.9,Very Good,H,VS1,62.5,58,4328,6.08,6.14,3.82
0.54,Very Good,E,VS1,61.7,58,1676,5.24,5.27,3.24
0.4,Premium,F,VVS2,62.2,59,1088,4.65,4.7,2.91
1.09,Premium,H,VS2,61.4,58,5677,6.64,6.58,4.06
0.33,Good,E,SI1,63.1,56,540,4.42,4.45,2.8
0.97,Ideal,H,SI2,60.7,55,3729,6.47,6.41,3.91
0.31,Ideal,E,VS1,61.4,57,734,4.32,4.37,2.67
0.24,Very Good,F,VVS2,60.5,59,552,3.98,4.05,2.43
1.5,Ideal,I,IF,61.3,56,12725,7.34,7.41,4.52
0.41,Ideal,E,VVS2,61.9,56,1243,4.78,4.75,2.95
2.04,Very Good,H,SI2,60,60,16319,8.21,8.17,4.91
1,Very Good,F,SI2,62.9,56,4255,6.36,6.42,4.02
2.01,Premium,H,SI2,61.6,58,16499,8.12,8.02,4.97
0.8,Ideal,F,VS2,61.3,55,3913,5.98,6,3.67
1.05,Ideal,J,VS1,62.8,57,4116,6.45,6.41,4.04
1.62,Ideal,H,VS2,61.5,61,12542,7.53,7.48,4.62
1.02,Premium,G,SI2,61.8,58,3496,6.47,6.4,3.98
3.51,Premium,J,VS2,62.5,59,18701,9.66,9.63,6.03
0.66,Good,G,VS1,61.6,61,2139,5.56,5.63,3.43
1.04,Premium,H,SI1,58.5,62,4659,6.67,6.64,3.89
0.35,Premium,H,VVS1,62.1,58,1024,4.52,4.46,2.79
0.53,Ideal,E,VS2,61.3,55,1813,5.24,5.2,3.2
1.03,Fair,E,SI1,65.1,58,5624,6.35,6.24,4.1
0.33,Premium,I,VS1,62.7,58,668,4.43,4.4,2.77
0.4,Fair,H,VS2,65.1,59,704,4.58,4.63,3
1.05,Very Good,G,SI1,59.1,57,4429,6.63,6.73,3.95
2.23,Premium,G,SI2,61.4,58,16805,8.41,8.32,5.14
1.04,Good,G,VS2,61.4,65,5535,6.53,6.47,3.99
1.12,Premium,G,IF,61.2,58,9612,6.7,6.67,4.09
0.43,Good,E,SI1,63.4,57,739,4.81,4.84,3.06
0.42,Ideal,G,VVS1,61.2,57,1179,4.78,4.82,2.94
0.92,Ideal,G,SI1,62.6,56,4173,6.21,6.19,3.88
1.07,Very Good,E,SI1,60.4,63,4314,6.67,6.6,4.01
1.12,Premium,G,SI2,60.8,55,4798,6.84,6.69,4.11
0.72,Premium,E,VVS1,62.9,59,3566,5.75,5.67,3.59
1.5,Good,D,SI1,63.1,57,11756,7.24,7.31,4.59
1.01,Premium,J,VS2,59.8,61,3535,6.47,6.43,3.86
0.32,Ideal,G,VS1,61.2,57,645,4.4,4.43,2.7
1.2,Good,G,VS2,57.8,59,8032,7.06,7,4.06
2.15,Premium,G,SI2,61.2,58,11985,8.42,8.3,5.1
0.39,Ideal,E,VVS2,61.9,55,1034,4.7,4.73,2.92
1,Ideal,G,SI1,61,57,5622,6.47,6.44,3.94
0.43,Ideal,G,VS1,61.9,55,1008,4.86,4.84,3
1.02,Good,F,VS2,63.3,59,6479,6.37,6.4,4.04
0.43,Premium,G,VS1,61,58,1008,4.92,4.89,2.99
1.01,Very Good,E,SI2,59.6,61,4355,6.56,6.59,3.92
0.4,Ideal,G,VVS1,61.2,56,1123,4.75,4.79,2.92
0.55,Ideal,D,VVS2,61.1,57,2644,5.32,5.29,3.24
1.2,Good,I,VS1,64.8,58,5600,6.6,6.65,4.29
0.26,Very Good,F,VVS2,63.2,54,597,4.05,4.08,2.57
1.06,Premium,G,SI1,62.7,56,5183,6.55,6.46,4.08
1.02,Premium,F,SI2,63,58,4238,6.44,6.38,4.04
0.25,Very Good,F,VVS2,61.6,57,633,4.05,4.07,2.5
1.1,Premium,H,SI1,62.1,58,4354,6.61,6.59,4.1
0.53,Premium,G,VS1,62.4,58,1813,5.2,5.16,3.23
0.59,Very Good,F,SI2,63.7,57,1265,5.31,5.36,3.4
1.21,Premium,H,SI2,58.8,60,6098,6.99,6.95,4.1
0.3,Very Good,G,SI1,59.8,57,447,4.32,4.37,2.6
0.91,Ideal,H,VS1,62.9,55,4109,6.23,6.13,3.89
0.82,Ideal,E,SI1,61.8,55,3588,5.97,6.01,3.7
1.01,Premium,F,SI1,62.2,58,4775,6.35,6.28,3.93
0.71,Very Good,J,VS1,63.3,55,1981,5.66,5.62,3.57
1.75,Ideal,H,VS2,62.2,56.3,14033,7.66,7.71,4.79
0.3,Premium,I,VVS1,60.5,60,709,4.34,4.32,2.62
0.4,Very Good,F,IF,62.9,55,1261,4.68,4.7,2.95
0.35,Premium,G,SI1,60.3,60,669,4.59,4.57,2.76
1.01,Ideal,F,VS2,62.1,57,6787,6.46,6.42,4
0.23,Ideal,F,VS2,61.5,55,498,3.93,3.97,2.43
0.32,Ideal,J,VS1,62,54.7,442,4.39,4.42,2.73
1.07,Premium,F,SI1,61.7,58,5042,6.54,6.61,4.06
2.01,Premium,H,SI1,60.6,59,13387,8.23,8.17,4.97
1.09,Ideal,G,SI2,61.7,57,4733,6.57,6.62,4.07
0.31,Very Good,G,VS1,63.1,59,802,4.29,4.27,2.7
1.05,Premium,F,SI2,60.4,57,4354,6.61,6.54,3.97
0.34,Ideal,E,VS1,62,57,881,4.49,4.44,2.77
1.53,Premium,G,VS1,61,60,14214,7.4,7.43,4.52
0.54,Very Good,D,VS2,60.7,57,2113,5.24,5.29,3.2
0.53,Good,D,VS1,60.2,56,1775,5.22,5.28,3.16
1.82,Very Good,G,SI2,61.3,58,11971,7.83,7.94,4.83
1.52,Premium,G,SI2,60.9,57,8299,7.5,7.44,4.55
1,Ideal,G,SI1,62.4,56,4867,6.34,6.41,3.98
1.18,Very Good,E,I1,62.5,58,3894,6.62,6.75,4.18
0.33,Ideal,G,VS2,62.3,57,743,4.43,4.4,2.75
0.46,Ideal,I,SI1,61.9,55,850,4.97,4.98,3.08
0.9,Ideal,G,SI2,62.4,57,2968,6.16,6.13,3.84
1.11,Ideal,G,VS1,61.5,58,7639,6.7,6.66,4.11
0.52,Premium,G,VS1,59.1,60,1622,5.24,5.19,3.08
0.41,Ideal,I,IF,62.6,57,1076,4.78,4.74,2.98
1.01,Very Good,F,SI2,60.7,57,4004,6.42,6.46,3.91
0.57,Ideal,E,VVS2,62.5,54,2372,5.35,5.28,3.32
0.36,Ideal,F,SI1,60.1,56,770,4.67,4.62,2.79
0.71,Very Good,F,SI2,63.6,56,2098,5.58,5.67,3.58
0.33,Very Good,D,VS2,62.8,54,781,4.43,4.46,2.79
1.04,Very Good,H,SI1,62.8,57,4564,6.44,6.48,4.06
0.57,Ideal,E,VVS2,60.6,56.2,2719,5.36,5.4,3.26
0.91,Good,F,SI2,63.8,59,3539,6.04,6.09,3.87
1.01,Premium,H,VS2,58.1,60,4348,6.61,6.55,3.82
1.68,Ideal,G,VS1,62,55,16985,7.59,7.66,4.73
0.33,Ideal,G,VS1,62.1,55,854,4.46,4.43,2.76
1.31,Ideal,E,VS1,61.7,55,10711,7.11,7.05,4.37
0.31,Very Good,G,VVS2,62.1,56,707,4.27,4.33,2.67
0.9,Very Good,G,SI2,62.4,55,3539,6.13,6.17,3.84
0.42,Good,D,SI2,63.1,56,653,4.74,4.8,3.01
1.01,Good,H,SI1,63.4,58,4559,6.34,6.38,4.03
0.35,Ideal,E,VS1,61.2,56,1063,4.55,4.53,2.78
0.31,Ideal,G,VS1,62.3,54,600,4.35,4.38,2.72
0.57,Ideal,F,IF,61.3,56,2656,5.32,5.36,3.28
1,Ideal,H,SI2,58.3,61,4390,6.56,6.61,3.84
0.39,Ideal,F,VVS1,62.2,54,1124,4.71,4.74,2.94
1.62,Very Good,E,SI2,60.8,59,9355,7.57,7.62,4.62
2.03,Very Good,E,SI2,58.8,59,18115,8.23,8.28,4.85
1.06,Premium,J,SI2,61.3,60,3672,6.52,6.59,4.02
0.71,Fair,F,SI1,62.6,57,2088,5.73,5.68,3.57
1,Fair,E,SI1,57.6,57,5027,6.56,6.52,3.77
1.02,Premium,E,SI2,58.7,58,4990,6.68,6.61,3.9
0.61,Ideal,F,VS1,62.3,55,2366,5.46,5.49,3.41
0.9,Very Good,E,SI1,59.8,55,4463,6.3,6.34,3.78
0.56,Premium,D,SI2,60.4,58,1388,5.32,5.37,3.23
0.72,Good,F,VS2,63.5,55,2700,5.7,5.74,3.63
0.73,Ideal,J,VVS2,61.2,56,2482,5.81,5.85,3.57
1.5,Premium,H,SI2,62.1,59,7500,7.28,7.24,4.51
2.29,Premium,I,SI1,61.8,59,18797,8.52,8.45,5.24
0.62,Ideal,F,VS1,61.9,55,2344,5.46,5.19,3.39
2.28,Premium,H,SI1,59.3,58,13919,8.6,8.56,5.09
0.32,Premium,F,VS2,62.1,59,645,4.35,4.41,2.72
1.2,Ideal,J,SI2,59.1,62,4509,6.97,6.94,4.11
0.51,Premium,H,SI1,61.6,56,1250,5.19,5.14,3.18
0.9,Good,H,SI1,60.5,64,3125,6.18,6.11,3.72
0.31,Ideal,F,VS2,60.8,56,625,4.38,4.41,2.67
0.91,Premium,G,VS1,62.2,58,4459,6.22,6.12,3.85
0.33,Ideal,E,VVS2,61,54,741,4.49,4.52,2.75
1.02,Very Good,H,SI1,61.6,58,4727,6.49,6.54,4.01
0.7,Good,F,SI1,63.7,58,2242,5.62,5.65,3.59
1.5,Premium,G,VS1,60.2,58,13720,7.41,7.38,4.45
0.34,Ideal,D,VS2,60.8,57,1033,4.52,4.5,2.74
0.33,Ideal,H,SI2,61.4,55,433,4.47,4.49,2.75
0.31,Premium,I,VS1,62.6,59,489,4.29,4.33,2.7
1.23,Premium,F,VS1,61.3,60,9489,6.94,6.9,4.24
0.41,Ideal,E,VS2,61.8,57,999,4.78,4.76,2.95
1.17,Ideal,J,SI1,62.3,55,4883,6.74,6.77,4.21
0.4,Premium,F,VVS1,60.8,59,1323,4.76,4.74,2.89
2.14,Premium,I,VS2,60.7,59,17193,8.33,8.28,5.04
0.3,Ideal,F,IF,62.1,54,886,4.32,4.35,2.69
0.73,Ideal,G,SI1,61.2,57,3089,5.79,5.86,3.56
1.31,Very Good,J,VS1,63.7,55,6101,6.94,7.01,4.44
1.01,Premium,D,SI1,62.3,60,5939,6.4,6.35,3.97
2.48,Fair,I,SI2,56.7,66,15030,8.88,8.64,4.99
0.42,Ideal,F,SI1,60.6,57,773,4.84,4.9,2.95
0.41,Ideal,G,SI1,61.9,54,759,4.77,4.82,2.97
0.31,Ideal,H,VS1,62.2,57,698,4.37,4.34,2.71
1.27,Premium,J,VS2,62.8,58,4011,6.96,6.92,4.36
1.02,Very Good,F,VS2,61.7,58,6479,6.47,6.5,4
2.22,Ideal,I,SI2,62.7,61,14416,8.31,8.23,5.19
1.01,Ideal,E,VVS2,61.7,57,11400,6.42,6.44,3.97
0.7,Good,E,VS2,58.7,63,2912,5.69,5.73,3.35
0.7,Fair,G,I1,66.9,55,1001,5.6,5.52,3.72
0.44,Ideal,G,IF,61.6,55,2506,4.9,4.93,3.03
0.79,Very Good,D,VS1,62.4,60,4213,5.86,5.88,3.66
0.32,Premium,I,VVS2,61.9,59,720,4.38,4.35,2.7
1.72,Premium,G,VS2,61.1,58,15946,7.73,7.69,4.71
0.78,Very Good,E,SI1,63.4,56,2565,5.84,5.9,3.72
0.43,Very Good,F,VS2,62.5,60,804,4.81,4.86,3.02
0.25,Ideal,F,VS2,62.8,57,436,3.98,4.01,2.51
1.3,Premium,D,SI2,60.2,59,7002,7,7.05,4.23
0.31,Ideal,I,SI1,62.1,54,436,4.37,4.39,2.72
0.9,Very Good,D,SI1,59.5,57,4419,6.19,6.34,3.73
0.7,Very Good,E,VS1,63.4,57,3095,5.63,5.67,3.58
0.28,Ideal,E,VVS2,62.1,56,646,4.19,4.21,2.61
0.8,Very Good,F,VS1,63.6,57,3559,5.82,5.91,3.73
0.32,Premium,F,SI2,59.7,59,421,4.43,4.48,2.66
0.71,Fair,D,VS2,64.4,56,2596,5.63,5.58,3.61
0.5,Ideal,D,VS2,62.5,54,1752,5.05,5.09,3.17
0.84,Good,G,VS1,63.6,57,3316,5.98,5.93,3.79
0.3,Ideal,E,VVS2,61.9,57,789,4.28,4.32,2.66
1.11,Premium,I,SI2,61.8,58,4196,6.66,6.61,4.1
0.92,Very Good,F,SI1,62.9,56,4037,6.2,6.24,3.91
2.21,Ideal,G,SI2,60.1,60,15948,8.47,8.53,5.11
0.25,Ideal,G,IF,61.1,57,582,4.06,4.07,2.48
2.11,Very Good,D,SI2,60.9,60,18407,8.21,8.28,5.02
0.33,Ideal,H,VVS1,61.5,56,730,4.46,4.49,2.75
2.11,Very Good,I,SI2,63.8,54,12937,8.13,8.19,5.21
2.07,Premium,H,SI1,61.1,58,13844,8.27,8.2,5.03
0.72,Very Good,I,VS1,63.8,59,2441,5.63,5.71,3.62
1.33,Premium,E,SI2,62.5,58,7090,7.03,6.99,4.38
1.01,Very Good,D,SI2,62,59,4528,6.36,6.4,3.96
0.57,Very Good,F,SI2,63.5,56,1397,5.28,5.25,3.34
0.33,Ideal,I,IF,62.1,55,891,4.44,4.41,2.75
2.27,Premium,I,SI1,61,58,14362,8.42,8.4,5.19
0.77,Good,H,VVS2,64.3,57.9,2734,5.7,5.86,3.71
0.55,Very Good,D,VS2,60.4,59,1755,5.29,5.34,3.21
1.26,Very Good,G,SI1,63.2,61,7000,6.87,6.81,4.32
1.08,Very Good,E,SI2,59.5,59,4840,6.71,6.78,4.01
1.02,Good,G,VVS1,63.6,58,8005,6.4,6.37,4.06
0.37,Very Good,F,SI1,62.4,59,616,4.56,4.6,2.86
1.01,Very Good,G,VS1,63.2,58,6618,6.38,6.34,4.02
0.31,Ideal,F,VS1,61.8,56,695,4.33,4.36,2.68
1.62,Ideal,I,SI2,62.2,57,8220,7.51,7.57,4.69
0.74,Very Good,F,SI1,61.5,58,2583,5.82,5.85,3.59
0.71,Ideal,F,VS1,61.9,56,3710,5.7,5.74,3.54
0.51,Good,G,VVS1,63.9,57,1925,5.06,5.08,3.24
0.5,Ideal,E,VS2,61.5,55,1554,5.11,5.16,3.16
0.33,Very Good,E,VS2,60.6,58,675,4.45,4.49,2.71
0.55,Ideal,D,SI2,60.9,57,1363,5.26,5.29,3.21
0.31,Ideal,G,VS2,59.6,57,698,4.43,4.4,2.63
1,Good,G,VS2,63,58,5723,6.25,6.35,3.97
1.8,Very Good,E,SI1,62.2,57,17273,7.81,7.89,4.88
0.59,Very Good,I,SI1,61.7,55.2,1257,5.39,5.41,3.33
0.56,Ideal,F,VS2,61.3,54,1723,5.34,5.37,3.28
0.7,Ideal,I,VS1,61.8,55,2469,5.67,5.72,3.52
0.41,Very Good,D,VS1,61.7,58,1018,4.76,4.8,2.95
0.53,Ideal,E,VS2,60.7,57,1743,5.27,5.3,3.2
1.04,Premium,G,SI1,62.6,55,4948,6.49,6.42,4.04
1.13,Fair,I,VS2,55.9,67,4695,7.05,6.94,3.9
0.39,Very Good,G,VS1,60.3,59,790,4.71,4.77,2.86
0.38,Very Good,F,SI2,61.2,57,585,4.67,4.71,2.87
1.05,Premium,H,SI1,62.5,57,4558,6.52,6.45,4.05
0.3,Very Good,D,VS2,62,62,663,4.24,4.27,2.64
1.31,Ideal,G,VVS2,59.2,59,11459,7.12,7.18,4.23
1.03,Premium,G,SI1,61.6,59,4900,6.53,6.5,4.01
0.96,Premium,I,SI1,61.3,58,2866,6.39,6.3,3.89
0.98,Very Good,H,SI2,62.1,59,3731,6.33,6.39,3.95
0.6,Good,G,SI1,61.3,61.2,1565,5.4,5.45,3.33
0.31,Ideal,I,SI1,60.9,57,414,4.36,4.41,2.67
1.23,Premium,G,SI1,62.5,59,6909,6.84,6.77,4.25
0.51,Premium,G,VS2,61.3,59,1343,5.11,5.17,3.15
1.52,Ideal,E,SI2,60.1,57,9405,7.49,7.53,4.51
0.88,Fair,I,VS2,57.4,67,2550,6.49,6.36,3.69
0.33,Ideal,J,VS1,61.6,54,451,4.5,4.52,2.78
2.07,Very Good,I,SI2,63.1,57,15245,8.2,8.1,5.14
0.51,Premium,D,VS2,61.1,59,1882,5.16,5.12,3.14
0.43,Ideal,F,VVS1,62.3,55,1422,4.88,4.85,3.03
0.54,Ideal,G,VS1,61.6,56,1957,5.24,5.28,3.24
0.68,Good,F,SI1,61.2,61,1924,5.59,5.63,3.43
0.4,Good,F,VVS1,61.9,61,1349,4.71,4.73,2.92
1,Premium,I,SI2,61.6,59,3712,6.34,6.41,3.93
1.21,Ideal,F,VS2,61.5,56,8348,6.87,6.83,4.21
0.27,Very Good,E,VVS1,62.3,56,682,4.16,4.19,2.6
0.25,Very Good,E,VS2,63.3,56,436,4.01,4.05,2.55
1.03,Premium,H,VS1,62.4,60,5883,6.48,6.43,4.03
0.9,Ideal,G,VS1,61.8,56,4931,6.19,6.24,3.84
0.41,Ideal,F,VS2,61.9,56,863,4.74,4.76,2.94
0.29,Very Good,H,VS1,62.2,56,444,4.24,4.27,2.64
1.03,Good,D,SI2,59.3,58,4671,6.57,6.61,3.91
2.02,Premium,G,SI2,61,58,15498,8.15,8.22,4.99
0.33,Premium,H,IF,62.9,58,1010,4.43,4.38,2.77
0.51,Very Good,J,VS2,58,62,1008,5.24,5.27,3.05
0.58,Ideal,G,SI1,62,58,1408,5.33,5.38,3.32
1.01,Premium,D,SI1,62.7,58,4909,6.38,6.34,3.99
1.11,Ideal,E,VVS1,61.3,54,12725,6.68,6.72,4.11
1.51,Very Good,G,VS2,63.5,57,12872,7.23,7.19,4.58
0.81,Ideal,E,SI1,62.3,57,3404,5.95,5.99,3.72
0.26,Ideal,H,VVS2,61.8,55.7,478,4.08,4.1,2.53
1.05,Premium,G,SI2,60.1,60,3898,6.66,6.58,3.98
0.31,Ideal,D,VS2,61.2,55,734,4.36,4.46,2.7
2.02,Premium,J,VS2,62.1,59,14330,8.08,7.98,4.99
1.02,Very Good,F,SI2,61.1,62,3984,6.49,6.54,3.98
1.01,Very Good,H,SI1,62.7,59,4242,6.27,6.33,3.95
1.1,Premium,F,SI2,62.1,56,3918,6.68,6.56,4.12
1.5,Ideal,J,SI1,61.1,56.7,7520,7.35,7.38,4.5
1.3,Premium,G,VS2,62.5,58,9120,6.97,6.93,4.36
0.53,Very Good,E,VS2,63.5,59,1678,5.17,5.13,3.27
1.35,Ideal,G,VS1,61.5,56,10193,7.12,7.15,4.39
0.38,Ideal,D,VVS1,61.3,56,1400,4.65,4.71,2.87
0.42,Very Good,E,SI1,62.3,58,773,4.76,4.81,2.98
0.7,Very Good,G,SI2,60.7,58,2141,5.74,5.76,3.49
0.41,Ideal,E,VS2,62.4,54,935,4.76,4.79,2.98
0.37,Premium,D,SI1,61.9,59,874,4.65,4.62,2.87
0.55,Ideal,F,VS2,61.7,57,1692,5.24,5.29,3.25
0.3,Premium,H,IF,62.9,58,1013,4.29,4.26,2.69
1.05,Ideal,G,SI2,62.7,57,5127,6.45,6.51,4.06
0.34,Good,E,SI1,63.9,56,596,4.44,4.48,2.85
1.01,Very Good,I,SI2,63.7,57,3998,6.32,6.36,4.04
0.34,Ideal,D,SI1,62.3,57,803,4.48,4.44,2.78
1.23,Premium,D,SI2,62.3,58,6833,6.81,6.78,4.23
1.02,Ideal,E,VS2,62.7,56,6854,6.44,6.38,4.02
1.5,Ideal,G,VS1,61.8,56,13377,7.38,7.31,4.54
0.31,Very Good,H,VS1,61.4,56,544,4.37,4.39,2.69
0.79,Ideal,F,SI1,62.5,57,2976,5.88,5.92,3.69
1.06,Ideal,F,SI1,61.3,57,4862,6.56,6.51,4.01
1.02,Very Good,I,VS2,59.3,59,4762,6.57,6.62,3.91
0.54,Ideal,H,VVS1,61.8,55,1944,5.24,5.21,3.23
0.4,Very Good,F,SI1,62.9,57,737,4.68,4.7,2.95
0.9,Premium,H,VS1,61.5,59,4064,6.19,6.13,3.79
1.02,Ideal,D,VVS2,62,56,10967,6.43,6.48,4
1.03,Good,D,SI2,57.2,59,3743,6.66,6.63,3.8
2,Good,I,SI1,63,61,15072,7.93,7.97,5.01
0.74,Premium,E,VS2,62.7,58,3228,5.77,5.72,3.6
1.06,Ideal,H,VVS1,61.3,57,7193,6.55,6.53,4.01
1.2,Premium,I,SI1,60.7,59,5510,6.9,6.87,4.18
1.19,Premium,G,VS1,62.6,58,8109,6.78,6.71,4.22
0.39,Very Good,I,VS1,63.1,58,921,4.68,4.61,2.93
0.3,Ideal,E,SI1,61.9,57,564,4.29,4.32,2.66
0.31,Ideal,E,SI1,62.1,55,516,4.33,4.36,2.7
